"","Date","PosCount","NegCount","TrustCount","AngerCount","AnticipationCount","DisgustCount","FearCount","JoyCount","SadnessCount","SurpriseCount"
"347",2009-05-21,13,20,11,10,1,3,15,3,15,3
"348",2009-05-22,23,32,13,21,11,15,24,4,19,4
"349",2009-05-23,13,18,10,10,5,3,14,3,9,6
"350",2009-05-24,21,28,15,16,12,5,19,8,12,4
"351",2009-05-25,21,23,17,17,11,7,24,8,17,3
"352",2009-05-26,26,32,22,20,9,10,25,8,12,11
"353",2009-05-27,20,24,20,14,5,5,19,6,9,5
"354",2009-05-28,25,21,27,14,16,8,24,11,12,9
"355",2009-05-29,30,28,20,12,11,5,17,8,14,1
"356",2009-05-30,12,16,7,9,5,2,13,3,8,1
"357",2009-05-31,35,39,17,16,10,8,23,6,15,7
"358",2009-06-01,19,26,13,13,10,6,24,4,14,5
"359",2009-06-02,25,20,17,10,13,7,16,7,12,4
"360",2009-06-03,21,18,12,8,8,5,13,5,11,6
"361",2009-06-04,28,23,17,14,13,7,14,11,8,12
"362",2009-06-05,27,15,17,4,7,3,9,11,7,2
"363",2009-06-06,16,20,10,10,2,4,16,2,7,4
"364",2009-06-07,18,21,10,15,6,4,18,3,13,4
"365",2009-06-08,16,18,13,12,11,3,10,7,5,3
"366",2009-06-09,15,38,12,20,9,14,30,5,18,9
"367",2009-06-10,28,25,23,11,9,7,21,9,8,6
"368",2009-06-11,36,40,22,23,14,12,34,11,23,8
"369",2009-06-12,22,17,15,5,8,6,12,4,10,4
"370",2009-06-13,18,30,15,18,13,5,18,6,8,7
"371",2009-06-14,14,17,13,15,8,1,19,4,5,5
"372",2009-06-15,21,29,22,15,13,5,18,4,13,6
"373",2009-06-16,20,17,17,12,6,5,13,2,3,3
"374",2009-06-17,24,21,19,14,11,5,15,9,8,9
"375",2009-06-18,31,26,36,15,11,4,21,8,14,7
"376",2009-06-19,22,30,15,15,9,8,21,5,12,5
"377",2009-06-20,18,38,14,25,8,9,24,5,13,7
"378",2009-06-21,22,18,15,10,10,2,18,5,11,9
"379",2009-06-22,30,23,22,11,11,7,16,7,12,3
"380",2009-06-23,25,30,17,16,6,4,22,5,12,8
"381",2009-06-24,20,33,15,16,18,5,23,7,13,7
"382",2009-06-25,26,25,16,11,11,4,17,7,11,7
"383",2009-06-26,16,19,10,12,11,8,14,6,9,7
"384",2009-06-27,18,17,12,14,11,1,13,5,10,4
"385",2009-06-28,14,27,10,14,4,2,16,3,13,5
"386",2009-06-29,18,27,16,21,7,6,20,2,13,12
"387",2009-06-30,19,25,15,11,9,3,21,4,9,3
"388",2009-07-01,15,24,13,13,7,5,15,7,10,7
"389",2009-07-02,22,20,14,12,12,6,15,4,9,8
"390",2009-07-03,7,19,4,14,5,4,18,2,16,0
"391",2009-07-04,20,18,17,15,8,7,18,7,8,5
"392",2009-07-05,14,21,14,15,7,8,18,3,12,9
"393",2009-07-06,19,23,14,16,12,7,24,6,11,4
"394",2009-07-07,17,20,14,15,11,6,24,5,9,5
"395",2009-07-08,28,37,23,27,17,13,34,10,24,9
"396",2009-07-09,15,31,8,20,14,7,22,5,13,9
"397",2009-07-10,12,35,13,23,7,15,20,1,10,4
"398",2009-07-11,20,19,9,8,9,7,10,8,7,4
"399",2009-07-12,24,25,19,12,7,8,20,5,11,8
"400",2009-07-13,15,30,14,20,10,9,28,2,19,8
"401",2009-07-14,15,18,13,12,5,7,18,4,7,6
"402",2009-07-15,19,37,12,21,4,10,32,4,15,4
"403",2009-07-16,26,18,21,10,13,6,18,8,12,10
"404",2009-07-17,24,33,17,16,6,7,28,9,23,6
"405",2009-07-18,15,28,9,18,7,13,22,2,12,5
"406",2009-07-19,18,29,14,21,12,6,26,7,16,5
"407",2009-07-20,26,24,15,12,10,7,18,7,12,5
"408",2009-07-21,21,28,17,14,10,10,21,7,20,5
"409",2009-07-22,39,26,29,13,9,7,16,12,9,2
"410",2009-07-23,15,32,11,16,13,7,18,7,14,6
"411",2009-07-24,27,20,10,9,9,4,13,6,10,3
"412",2009-07-25,20,32,9,16,9,9,21,6,13,5
"413",2009-07-26,26,25,16,15,12,5,17,6,10,5
"414",2009-07-27,16,19,13,12,18,6,12,6,7,4
"415",2009-07-28,25,35,18,22,8,12,24,5,21,6
"416",2009-07-29,23,34,19,22,9,14,24,8,17,6
"417",2009-07-30,18,33,19,16,16,7,34,8,18,14
"418",2009-07-31,21,30,19,13,10,9,21,6,12,3
"419",2009-08-01,27,38,21,18,16,7,34,11,19,10
"420",2009-08-02,25,26,17,9,5,7,16,3,14,2
"421",2009-08-03,29,28,24,11,10,9,24,9,13,9
"422",2009-08-04,27,29,12,14,12,7,23,7,12,3
"423",2009-08-05,22,21,17,11,12,10,17,8,11,4
"424",2009-08-06,22,27,13,14,6,11,26,8,17,10
"425",2009-08-07,25,31,22,11,11,8,18,10,8,7
"426",2009-08-08,23,28,17,13,5,6,18,7,9,6
"427",2009-08-09,22,28,18,15,9,7,25,7,15,4
"428",2009-08-10,23,23,11,10,8,6,24,2,10,1
"429",2009-08-11,15,27,11,13,6,9,20,5,11,4
"430",2009-08-12,17,22,12,9,7,6,15,4,8,5
"431",2009-08-13,24,27,18,18,12,9,25,4,17,8
"432",2009-08-14,26,23,21,19,9,4,21,12,12,4
"433",2009-08-15,29,30,17,16,15,9,22,7,10,8
"434",2009-08-16,25,29,19,16,9,4,27,7,15,5
"435",2009-08-17,28,33,18,17,9,12,27,10,17,7
"436",2009-08-18,22,24,18,12,12,5,20,6,10,4
"437",2009-08-19,26,22,26,17,15,7,17,10,14,5
"438",2009-08-20,26,18,21,6,8,5,14,3,9,2
"439",2009-08-21,37,54,20,35,20,14,38,9,27,15
"440",2009-08-22,26,41,17,19,16,10,26,6,17,8
"441",2009-08-23,17,21,11,9,6,4,15,5,6,3
"442",2009-08-24,24,27,14,10,10,4,19,10,7,3
"443",2009-08-25,21,26,17,16,12,6,18,6,11,3
"444",2009-08-26,17,27,12,17,10,8,18,7,10,5
"445",2009-08-27,19,33,13,25,10,11,20,2,19,9
"446",2009-08-28,23,32,12,20,11,6,22,4,16,4
"447",2009-08-29,25,20,14,9,8,7,15,5,12,4
"448",2009-08-30,24,28,15,17,6,9,19,4,14,3
"449",2009-08-31,23,28,18,12,11,7,20,8,14,5
"450",2009-09-01,31,29,21,16,14,10,20,8,15,5
"451",2009-09-02,27,27,16,11,9,7,14,8,13,6
"452",2009-09-03,28,18,14,11,12,4,19,5,5,6
"453",2009-09-04,22,25,17,13,9,7,16,7,11,9
"454",2009-09-05,18,27,11,15,3,8,20,8,13,4
"455",2009-09-06,16,27,13,12,11,4,22,6,12,7
